Student_ID,Month,Year,Total_School_Days,Present,Absent,Late
S001,June,2023.0,20.0,16.0,2.0,2.0
S001,June,2023.0,10.0,8.0,1.0,1.0
S001,July,2023.0,20.0,12.0,5.0,3.0
S001,July,2023.0,10.0,9.0,1.0,0.0
S001,August,2023.0,20.0,17.0,2.0,1.0
S001,August,2023.0,10.0,7.0,3.0,0.0
S001,September,2023.0,20.0,17.0,1.0,2.0
S001,September,2023.0,10.0,7.0,3.0,0.0
S001,October,2023.0,20.0,15.0,1.0,4.0
S001,October,2023.0,10.0,6.0,0.0,4.0
S001,November,2023.0,20.0,15.0,4.0,1.0
S001,November,2023.0,10.0,6.0,3.0,1.0
S001,December,2023.0,20.0,18.0,2.0,0.0
S001,December,2023.0,10.0,8.0,0.0,2.0
S001,January,2024.0,20.0,16.0,4.0,0.0
S001,January,2024.0,10.0,9.0,1.0,0.0
S001,February,2024.0,20.0,18.0,1.0,1.0
S001,February,2024.0,10.0,6.0,4.0,0.0
S001,March,2024.0,20.0,19.0,1.0,0.0
S001,March,2024.0,10.0,7.0,1.0,2.0
S001,June,2024.0,20.0,14.0,5.0,1.0
S001,June,2024.0,10.0,6.0,1.0,3.0
S001,July,2024.0,20.0,16.0,3.0,1.0
S001,July,2024.0,10.0,6.0,0.0,4.0
S001,August,2024.0,20.0,12.0,7.0,1.0
S001,August,2024.0,10.0,6.0,3.0,1.0
S001,September,2024.0,20.0,14.0,4.0,2.0
S001,September,2024.0,10.0,6.0,3.0,1.0
S001,October,2024.0,20.0,17.0,3.0,0.0
S001,October,2024.0,10.0,8.0,2.0,0.0
S001,November,2024.0,20.0,14.0,5.0,1.0
S001,November,2024.0,10.0,7.0,2.0,1.0
S001,December,2024.0,20.0,19.0,0.0,1.0
S001,December,2024.0,10.0,7.0,2.0,1.0
S001,January,2025.0,20.0,15.0,1.0,4.0
S001,January,2025.0,10.0,9.0,1.0,0.0
S001,February,2025.0,20.0,11.0,5.0,4.0
S001,February,2025.0,10.0,8.0,1.0,1.0
S001,March,2025.0,20.0,17.0,0.0,3.0
S001,March,2025.0,10.0,8.0,0.0,2.0
S001,June,2025.0,20.0,14.0,2.0,4.0
S001,June,2025.0,10.0,9.0,1.0,0.0
S001,July,2025.0,20.0,20.0,0.0,0.0
S001,July,2025.0,10.0,9.0,1.0,0.0
S001,August,2025.0,20.0,19.0,1.0,0.0
S001,August,2025.0,10.0,8.0,2.0,0.0
S001,September,2025.0,20.0,17.0,1.0,2.0
S001,September,2025.0,10.0,8.0,2.0,0.0
S001,October,2025.0,20.0,15.0,3.0,2.0
S001,October,2025.0,10.0,8.0,1.0,1.0
S001,November,2025.0,20.0,18.0,0.0,2.0
S001,November,2025.0,10.0,8.0,1.0,1.0
S001,December,2025.0,20.0,19.0,0.0,1.0
S001,December,2025.0,10.0,9.0,1.0,0.0
S001,January,2026.0,20.0,17.0,1.0,2.0
S001,January,2026.0,10.0,7.0,0.0,3.0
S001,February,2026.0,20.0,16.0,1.0,3.0
S001,February,2026.0,10.0,7.0,0.0,3.0
S001,March,2026.0,20.0,19.0,1.0,0.0
S001,March,2026.0,10.0,8.0,1.0,1.0
S002,June,2023.0,20.0,17.0,0.0,3.0
S002,June,2023.0,10.0,8.0,0.0,2.0
S002,July,2023.0,20.0,19.0,0.0,1.0
S002,July,2023.0,10.0,7.0,2.0,1.0
S002,August,2023.0,20.0,15.0,5.0,0.0
S002,August,2023.0,10.0,9.0,0.0,1.0
S002,September,2023.0,20.0,14.0,3.0,3.0
S002,September,2023.0,10.0,7.0,0.0,3.0
S002,October,2023.0,20.0,17.0,2.0,1.0
S002,October,2023.0,10.0,8.0,1.0,1.0
S002,November,2023.0,20.0,17.0,2.0,1.0
S002,November,2023.0,10.0,8.0,1.0,1.0
S002,December,2023.0,20.0,18.0,1.0,1.0
S002,December,2023.0,10.0,6.0,2.0,2.0
S002,January,2024.0,20.0,14.0,5.0,1.0
S002,January,2024.0,10.0,8.0,2.0,0.0
S002,February,2024.0,20.0,16.0,0.0,4.0
S002,February,2024.0,10.0,9.0,0.0,1.0
S002,March,2024.0,20.0,18.0,0.0,2.0
S002,March,2024.0,10.0,8.0,0.0,2.0
S002,June,2024.0,20.0,15.0,3.0,2.0
S002,June,2024.0,10.0,6.0,4.0,0.0
S002,July,2024.0,20.0,17.0,2.0,1.0
S002,July,2024.0,10.0,9.0,0.0,1.0
S002,August,2024.0,20.0,15.0,1.0,4.0
S002,August,2024.0,10.0,9.0,0.0,1.0
S002,September,2024.0,20.0,19.0,0.0,1.0
S002,September,2024.0,10.0,10.0,0.0,0.0
S002,October,2024.0,20.0,17.0,0.0,3.0
S002,October,2024.0,10.0,10.0,0.0,0.0
S002,November,2024.0,20.0,17.0,0.0,3.0
S002,November,2024.0,10.0,8.0,0.0,2.0
S002,December,2024.0,20.0,20.0,0.0,0.0
S002,December,2024.0,10.0,10.0,0.0,0.0
S002,January,2025.0,20.0,16.0,0.0,4.0
S002,January,2025.0,10.0,9.0,1.0,0.0
S002,February,2025.0,20.0,18.0,1.0,1.0
S002,February,2025.0,10.0,8.0,2.0,0.0
S002,March,2025.0,20.0,14.0,2.0,4.0
S002,March,2025.0,10.0,10.0,0.0,0.0
S002,June,2025.0,20.0,14.0,4.0,2.0
S002,June,2025.0,10.0,8.0,1.0,1.0
S002,July,2025.0,20.0,17.0,1.0,2.0
S002,July,2025.0,10.0,8.0,1.0,1.0
S002,August,2025.0,20.0,15.0,3.0,2.0
S002,August,2025.0,10.0,8.0,1.0,1.0
S002,September,2025.0,20.0,19.0,0.0,1.0
S002,September,2025.0,10.0,9.0,0.0,1.0
S002,October,2025.0,20.0,13.0,3.0,4.0
S002,October,2025.0,10.0,7.0,1.0,2.0
S002,November,2025.0,20.0,17.0,2.0,1.0
S002,November,2025.0,10.0,8.0,1.0,1.0
S002,December,2025.0,20.0,19.0,0.0,1.0
S002,December,2025.0,10.0,7.0,0.0,3.0
S002,January,2026.0,20.0,15.0,0.0,5.0
S002,January,2026.0,10.0,6.0,4.0,0.0
S002,February,2026.0,20.0,17.0,2.0,1.0
S002,February,2026.0,10.0,6.0,1.0,3.0
S002,March,2026.0,20.0,14.0,0.0,6.0
S002,March,2026.0,10.0,6.0,1.0,3.0
S003,June,2023.0,20.0,19.0,1.0,0.0
S003,June,2023.0,10.0,10.0,0.0,0.0
S003,July,2023.0,20.0,15.0,4.0,1.0
S003,July,2023.0,10.0,6.0,4.0,0.0
S003,August,2023.0,20.0,16.0,4.0,0.0
S003,August,2023.0,10.0,8.0,1.0,1.0
S003,September,2023.0,20.0,14.0,6.0,0.0
S003,September,2023.0,10.0,9.0,1.0,0.0
S003,October,2023.0,20.0,16.0,2.0,2.0
S003,October,2023.0,10.0,9.0,0.0,1.0
S003,November,2023.0,20.0,16.0,3.0,1.0
S003,November,2023.0,10.0,8.0,1.0,1.0
S003,December,2023.0,20.0,17.0,2.0,1.0
S003,December,2023.0,10.0,7.0,1.0,2.0
S003,January,2024.0,20.0,19.0,0.0,1.0
S003,January,2024.0,10.0,9.0,1.0,0.0
S003,February,2024.0,20.0,15.0,3.0,2.0
S003,February,2024.0,10.0,7.0,3.0,0.0
S003,March,2024.0,20.0,15.0,3.0,2.0
S003,March,2024.0,10.0,8.0,0.0,2.0
S003,June,2024.0,20.0,14.0,6.0,0.0
S003,June,2024.0,10.0,7.0,0.0,3.0
S003,July,2024.0,20.0,17.0,2.0,1.0
S003,July,2024.0,10.0,7.0,2.0,1.0
S003,August,2024.0,20.0,17.0,1.0,2.0
S003,August,2024.0,10.0,9.0,0.0,1.0
S003,September,2024.0,20.0,10.0,6.0,4.0
S003,September,2024.0,10.0,7.0,3.0,0.0
S003,October,2024.0,20.0,18.0,0.0,2.0
S003,October,2024.0,10.0,8.0,2.0,0.0
S003,November,2024.0,20.0,18.0,1.0,1.0
S003,November,2024.0,10.0,7.0,2.0,1.0
S003,December,2024.0,20.0,12.0,4.0,4.0
S003,December,2024.0,10.0,8.0,2.0,0.0
S003,January,2025.0,20.0,15.0,2.0,3.0
S003,January,2025.0,10.0,6.0,2.0,2.0
S003,February,2025.0,20.0,14.0,3.0,3.0
S003,February,2025.0,10.0,6.0,3.0,1.0
S003,March,2025.0,20.0,13.0,6.0,1.0
S003,March,2025.0,10.0,7.0,3.0,0.0
S003,June,2025.0,20.0,17.0,1.0,2.0
S003,June,2025.0,10.0,8.0,2.0,0.0
S003,July,2025.0,20.0,13.0,3.0,4.0
S003,July,2025.0,10.0,6.0,2.0,2.0
S003,August,2025.0,20.0,16.0,4.0,0.0
S003,August,2025.0,10.0,8.0,2.0,0.0
S003,September,2025.0,20.0,14.0,3.0,3.0
S003,September,2025.0,10.0,8.0,0.0,2.0
S003,October,2025.0,20.0,15.0,1.0,4.0
S003,October,2025.0,10.0,9.0,1.0,0.0
S003,November,2025.0,20.0,16.0,0.0,4.0
S003,November,2025.0,10.0,2.0,8.0,0.0
S003,December,2025.0,20.0,19.0,0.0,1.0
S003,December,2025.0,10.0,9.0,1.0,0.0
S003,January,2026.0,20.0,16.0,0.0,4.0
S003,January,2026.0,10.0,9.0,1.0,0.0
S003,February,2026.0,20.0,16.0,0.0,4.0
S003,February,2026.0,10.0,9.0,1.0,0.0
S003,March,2026.0,20.0,19.0,1.0,0.0
S003,March,2026.0,10.0,8.0,0.0,2.0
S004,June,2023.0,20.0,15.0,3.0,2.0
S004,June,2023.0,10.0,7.0,3.0,0.0
S004,July,2023.0,20.0,14.0,3.0,3.0
S004,July,2023.0,10.0,8.0,1.0,1.0
S004,August,2023.0,20.0,15.0,2.0,3.0
S004,August,2023.0,10.0,8.0,2.0,0.0
S004,September,2023.0,20.0,16.0,1.0,3.0
S004,September,2023.0,10.0,8.0,0.0,2.0
